mouse_gene_name	mouse_gene_id	human_gene_name	human_gene_id	ID	log2fc	pvalue	adj_pvalue
Rogdi	ENSMUSG00000022540	ROGDI	ENSG00000067836	66049	-0.574245923	0.007420189	0.037183504
Lrp10	ENSMUSG00000022175	LRP10	ENSG00000197324	65107	-0.550165317	0.001771199	0.014872259
Ypel3	ENSMUSG00000042675	YPEL3	ENSG00000090238	66090	-0.772177086	0.000125491	0.003182499
Rgma	ENSMUSG00000070509	RGMA	ENSG00000182175	244058	-0.67219493	0.000140192	0.003414401
Eif2s1	ENSMUSG00000021116	EIF2S1	ENSG00000134001	13665	0.630681806	0.000238564	0.004591856
Mettl22	ENSMUSG00000039345	METTL22	ENSG00000067365	239706	-0.567859873	0.005149768	0.029404861
Pex12	ENSMUSG00000018733	PEX12	ENSG00000108733	103737	0.665987025	0.000596881	0.007594212
Helz	ENSMUSG00000020721	HELZ	ENSG00000198265	78455	-0.541299298	0.000206627	0.004234339
Mylpf	ENSMUSG00000030672	MYLPF	ENSG00000180209	17907	-0.450447823	0.007038827	0.03607519
Pmp22	ENSMUSG00000018217	PMP22	ENSG00000109099	18858	-0.345902132	0.008887533	0.041924431
Dcakd	ENSMUSG00000020935	DCAKD	ENSG00000172992	68087	-0.654023964	8.62e-06	0.000673952
Slc25a39	ENSMUSG00000018677	SLC25A39	ENSG00000013306	68066	-0.483113976	0.005456015	0.030503837
Gskip	ENSMUSG00000044715	GSKIP	ENSG00000100744	66787	0.622806719	0.000504909	0.006879609
Ska2	ENSMUSG00000020492	SKA2	ENSG00000182628	66140	0.528666957	0.005573305	0.030791567
Luc7l	ENSMUSG00000024188	LUC7L	ENSG00000007392	66978	0.569581304	0.000105021	0.002869427
Cluh	ENSMUSG00000020741	CLUH	ENSG00000132361	74148	-0.399489984	0.007557771	0.03765509
Rhot1	ENSMUSG00000017686	RHOT1	ENSG00000126858	59040	0.61876266	0.000151341	0.003572535
Thoc1	ENSMUSG00000024287	THOC1	ENSG00000079134	225160	0.991796081	4.3e-06	0.000430337
Ndc80	ENSMUSG00000024056	NDC80	ENSG00000080986	67052	0.724482683	0.000306366	0.005373552
Cdt1	ENSMUSG00000006585	CDT1	ENSG00000167513	67177	-0.721539485	5.92e-05	0.001996744
Rcn2	ENSMUSG00000032320	RCN2	ENSG00000117906	26611	0.607207951	0.000788273	0.009019895
Bcl2a1b	ENSMUSG00000089929	BCL2A1	ENSG00000140379	NA	NA	NA	NA
Pigq	ENSMUSG00000025728	PIGQ	ENSG00000007541	14755	-0.416319189	0.008083693	0.039150711
Rbbp8	ENSMUSG00000041238	RBBP8	ENSG00000101773	225182	0.600471657	0.002050908	0.016239961
1810013L24Rik	ENSMUSG00000022507	C16orf72	ENSG00000182831	69053	0.518203536	0.006457171	0.034103069
Neo1	ENSMUSG00000032340	NEO1	ENSG00000067141	18007	-0.331421485	0.005506627	0.030582309
Fbxo22	ENSMUSG00000032309	FBXO22	ENSG00000167196	71999	0.785261428	0.000144199	0.003491775
Rab8b	ENSMUSG00000036943	RAB8B	ENSG00000166128	235442	0.512036736	0.005897844	0.031897081
Riok3	ENSMUSG00000024404	RIOK3	ENSG00000101782	66878	0.579013935	0.000844578	0.009406481
Dpp8	ENSMUSG00000032393	DPP8	ENSG00000074603	74388	0.647359843	4.82e-05	0.001786152
Hnrnpc	ENSMUSG00000060373	HNRNPC	ENSG00000092199	15381	0.583615412	0.000201775	0.004179344
Begain	ENSMUSG00000040867	BEGAIN	ENSG00000183092	380785	-0.572019037	0.011354569	0.049459358
Arrb2	ENSMUSG00000060216	ARRB2	ENSG00000141480	216869	-0.661520364	0.000225627	0.004472809
Trpm7	ENSMUSG00000027365	TRPM7	ENSG00000092439	58800	0.736212607	0.000100486	0.002821623
Dvl2	ENSMUSG00000020888	DVL2	ENSG00000004975	13543	-0.631372395	0.000154703	0.003606023
Jmjd8	ENSMUSG00000025736	JMJD8	ENSG00000161999	72106	-1.252334607	1.4e-10	1.97e-07
Rhbdf1	ENSMUSG00000020282	RHBDF1	ENSG00000007384	13650	-0.477432027	0.008064988	0.039092451
Zfp397	ENSMUSG00000024276	ZNF397	ENSG00000186812	69256	0.671620888	0.00196173	0.01577202
Wsb1	ENSMUSG00000017677	WSB1	ENSG00000109046	78889	0.463808689	0.002555624	0.018637834
Osbpl7	ENSMUSG00000038534	OSBPL7	ENSG00000006025	71240	-0.618538697	0.007735872	0.038120752
Gse1	ENSMUSG00000031822	GSE1	ENSG00000131149	382034	-0.572769687	0.000131255	0.003255358
Sp2	ENSMUSG00000018678	SP2	ENSG00000167182	78912	-0.480579125	0.00048938	0.006768437
Nlgn2	ENSMUSG00000051790	NLGN2	ENSG00000169992	216856	-0.536787514	0.002117179	0.016497879
Ipo4	ENSMUSG00000002319	IPO4	ENSG00000196497	75751	-0.487459098	0.003520336	0.022781025
Ctcf	ENSMUSG00000005698	CTCF	ENSG00000102974	13018	0.403196889	0.010570176	0.047373158
Fam234a	ENSMUSG00000024187	FAM234A	ENSG00000167930	106581	-0.393824549	0.008043428	0.03903836
Stat5a	ENSMUSG00000004043	STAT5A	ENSG00000126561	20850	-0.677021273	0.001161487	0.011482301
Tlk2	ENSMUSG00000020694	TLK2	ENSG00000146872	24086	0.526021151	0.001618149	0.014015662
Alg11	ENSMUSG00000063362	ALG11	ENSG00000253710	207958	0.590655301	0.001630239	0.014098686
Cox11	ENSMUSG00000020544	COX11	ENSG00000166260	69802	0.817999317	0.001383546	0.012825965
Dsg3	ENSMUSG00000056632	DSG3	ENSG00000134757	13512	0.75555311	0.004884256	0.028370219
Islr	ENSMUSG00000037206	ISLR	ENSG00000129009	26968	-0.761004902	0.000129331	0.003243364
Oxa1l	ENSMUSG00000000959	OXA1L	ENSG00000155463	69089	-0.514661142	0.000573822	0.007401191
Hgs	ENSMUSG00000025793	HGS	ENSG00000185359	15239	-0.69003206	0.0001708	0.003833391
Abhd13	ENSMUSG00000040396	ABHD13	ENSG00000139826	68904	0.43184652	0.006473741	0.034147636
Mns1	ENSMUSG00000032221	MNS1	ENSG00000138587	17427	0.646559418	0.010538927	0.047315918
Zfp770	ENSMUSG00000040321	ZNF770	ENSG00000198146	228491	0.756950326	0.000778059	0.00892153
Dus2	ENSMUSG00000031901	DUS2	ENSG00000167264	66369	-0.590292039	0.006502714	0.034223788
Daam1	ENSMUSG00000034574	DAAM1	ENSG00000100592	208846	0.487992017	0.009248966	0.043141409
Ttc19	ENSMUSG00000042298	TTC19	ENSG00000011295	72795	0.678631228	0.001768874	0.014863824
Myo9a	ENSMUSG00000039585	MYO9A	ENSG00000066933	270163	0.547457006	0.001348378	0.012631657
1700017B05Rik	ENSMUSG00000032300	C15orf39	ENSG00000167173	74211	-0.534255454	0.002329565	0.017498931
Git1	ENSMUSG00000011877	GIT1	ENSG00000108262	216963	-0.604941335	0.000634573	0.007921616
Irs2	ENSMUSG00000038894	IRS2	ENSG00000185950	384783	-0.719535118	0.000146469	0.003516496
Cab39l	ENSMUSG00000021981	CAB39L	ENSG00000102547	69008	0.42867185	0.009291895	0.04323419
Nagpa	ENSMUSG00000023143	NAGPA	ENSG00000103174	27426	-0.589426383	0.008724676	0.041351068
Ckb	ENSMUSG00000001270	CKB	ENSG00000166165	12709	-0.794440016	1.04e-05	0.00074596
Rb1	ENSMUSG00000022105	RB1	ENSG00000139687	19645	0.682095724	0.00168382	0.014384736
Zwilch	ENSMUSG00000032400	ZWILCH	ENSG00000174442	68014	0.610714685	0.000777849	0.00892153
Tubg1	ENSMUSG00000035198	TUBG1	ENSG00000131462	103733	-0.737597649	1.13e-05	0.000773029
Dnaja2	ENSMUSG00000031701	DNAJA2	ENSG00000069345	56445	0.611929216	0.001383791	0.012825965
Wdr61	ENSMUSG00000061559	WDR61	ENSG00000140395	66317	0.476064813	0.004582693	0.027158486
Rps2	ENSMUSG00000044533	RPS2	ENSG00000140988	16898	-0.430779732	0.000121954	0.003156783
Dad1	ENSMUSG00000022174	DAD1	ENSG00000129562	13135	-0.378492132	0.007998901	0.038899899
Rnmt	ENSMUSG00000009535	RNMT	ENSG00000101654	67897	0.527499204	0.002002918	0.015957206
Abca3	ENSMUSG00000024130	ABCA3	ENSG00000167972	27410	-0.616401807	0.000258242	0.004806296
Styx	ENSMUSG00000053205	STYX	ENSG00000198252	56291	0.508028285	0.010817828	0.048038316
Cfl2	ENSMUSG00000062929	CFL2	ENSG00000165410	12632	0.931803154	4.39e-05	0.001716611
Fam222b	ENSMUSG00000037750	FAM222B	ENSG00000173065	216971	-0.507469186	0.000711377	0.008449473
Cnep1r1	ENSMUSG00000036810	CNEP1R1	ENSG00000205423	382030	0.7151294	0.002361524	0.017674735
Slc9a3r1	ENSMUSG00000020733	SLC9A3R1	ENSG00000109062	26941	-0.57646304	0.003066926	0.020942141
Tmem88	ENSMUSG00000045377	TMEM88	ENSG00000167874	67020	-1.492402639	1.23e-11	2.22e-08
Zfp598	ENSMUSG00000041130	ZNF598	ENSG00000167962	213753	-0.46576748	0.00556894	0.030791567
Btbd6	ENSMUSG00000002803	BTBD6	ENSG00000184887	399566	-0.620284531	0.003456436	0.022548942
Ubb	ENSMUSG00000019505	UBB	ENSG00000170315	22187	-0.645580815	0.000102011	0.002836169
Actg1	ENSMUSG00000062825	ACTG1	ENSG00000184009	NA	NA	NA	NA
Mrc2	ENSMUSG00000020695	MRC2	ENSG00000011028	17534	-0.517544154	0.000678228	0.008172197
Piezo1	ENSMUSG00000014444	PIEZO1	ENSG00000103335	234839	-0.464301864	0.005419446	0.030450581
Zfp263	ENSMUSG00000022529	ZNF263	ENSG00000006194	74120	0.605320873	0.002954057	0.020469343
Arih1	ENSMUSG00000025234	ARIH1	ENSG00000166233	23806	0.580972961	0.000628744	0.007857561
Polr2a	ENSMUSG00000005198	POLR2A	ENSG00000181222	20020	-0.590467624	1.61e-05	0.000926787
Pelp1	ENSMUSG00000018921	PELP1	ENSG00000141456	75273	-0.509009366	0.001508462	0.013428455
Mmp14	ENSMUSG00000000957	MMP14	ENSG00000157227	17387	-0.435517769	0.006127582	0.032803027
Pik3r5	ENSMUSG00000020901	PIK3R5	ENSG00000141506	320207	-0.692020301	0.005795103	0.031501165
Plekhm1	ENSMUSG00000034247	PLEKHM1	ENSG00000225190	353047	-0.44809992	0.004274211	0.025902279
Cldn6	ENSMUSG00000023906	CLDN6	ENSG00000184697	54419	0.845313446	0.000656698	0.008076865
Cacna1h	ENSMUSG00000024112	CACNA1H	ENSG00000196557	58226	-0.527677991	0.007634427	0.037819466
Mt1	ENSMUSG00000031765	MT1G	ENSG00000125144	17748	-0.488335339	0.007573955	0.037685699
Abhd2	ENSMUSG00000039202	ABHD2	ENSG00000140526	54608	-0.480446707	0.002591611	0.018826803
Fam117a	ENSMUSG00000038893	FAM117A	ENSG00000121104	215512	-0.595072895	0.011318677	0.049341193
Ddx52	ENSMUSG00000020677	DDX52	ENSG00000278053	78394	0.791466994	0.00020863	0.004263468
Caskin2	ENSMUSG00000034471	CASKIN2	ENSG00000177303	140721	-0.586402805	0.002974536	0.020535427
Bnip2	ENSMUSG00000011958	BNIP2	ENSG00000140299	12175	0.419591492	0.002160552	0.016746422
Mpo	ENSMUSG00000009350	MPO	ENSG00000005381	17523	-2.040015854	4.29e-13	1.21e-09
Pdia3	ENSMUSG00000027248	PDIA3	ENSG00000167004	14827	0.44156765	0.002566462	0.018692264
Cdh1	ENSMUSG00000000303	CDH1	ENSG00000039068	12550	0.563738289	0.011549984	0.049981866
Ubl7	ENSMUSG00000055720	UBL7	ENSG00000138629	69459	-0.455733154	0.004758994	0.027865976
Psmc6	ENSMUSG00000021832	PSMC6	ENSG00000100519	67089	0.815840484	7.31e-05	0.00231058
Snrpd1	ENSMUSG00000002477	SNRPD1	ENSG00000167088	20641	0.866771948	2.28e-05	0.001140978
Trappc8	ENSMUSG00000033382	TRAPPC8	ENSG00000153339	75964	0.444376395	0.004657451	0.027428292
Napg	ENSMUSG00000024581	NAPG	ENSG00000134265	108123	0.46694239	0.003835841	0.024008657
Lpar6	ENSMUSG00000033446	LPAR6	ENSG00000139679	67168	0.60293847	0.000673903	0.008172197
Prr14	ENSMUSG00000030822	PRR14	ENSG00000156858	233895	-0.537331916	0.000776703	0.00892153
Eif5	ENSMUSG00000021282	EIF5	ENSG00000100664	217869	0.640695367	0.000312948	0.005404599
Ttyh2	ENSMUSG00000034714	TTYH2	ENSG00000141540	117160	-0.431925158	0.008160834	0.039370603
Serpina3f	ENSMUSG00000066363	SERPINA3	ENSG00000196136	NA	NA	NA	NA
Srrm2	ENSMUSG00000039218	SRRM2	ENSG00000167978	75956	-0.350835937	0.000886045	0.009676882
Ankrd11	ENSMUSG00000035569	ANKRD11	ENSG00000167522	77087	-0.372986271	0.00360396	0.023044061
Tubb6	ENSMUSG00000001473	TUBB6	ENSG00000176014	67951	-0.444408982	0.002140175	0.016654024
Mfap4	ENSMUSG00000042436	MFAP4	ENSG00000166482	76293	-0.650784002	0.000327391	0.005519544
Cln6	ENSMUSG00000032245	CLN6	ENSG00000128973	76524	-0.693236663	1.39e-05	0.000851024
Jup	ENSMUSG00000001552	JUP	ENSG00000173801	16480	-0.584231092	0.000287652	0.005168953
Taok1	ENSMUSG00000017291	TAOK1	ENSG00000160551	216965	0.676252494	0.000172459	0.003837721
Ubr1	ENSMUSG00000027272	UBR1	ENSG00000159459	22222	0.603087983	0.000621893	0.007810783
Cdc42bpb	ENSMUSG00000021279	CDC42BPB	ENSG00000198752	217866	-0.413132147	0.005312184	0.030072998
Lingo1	ENSMUSG00000049556	LINGO1	ENSG00000169783	235402	-0.794199698	0.000299142	0.005312833
Mnt	ENSMUSG00000000282	MNT	ENSG00000070444	17428	-0.753019971	0.000109375	0.002948172
Smoc1	ENSMUSG00000021136	SMOC1	ENSG00000198732	64075	-0.587063909	0.007176893	0.036461649
Fam192a	ENSMUSG00000031774	PSME3IP1	ENSG00000172775	102122	-0.752161033	0.000379923	0.005868225
Zfp65	ENSMUSG00000071281	ZNF200	ENSG00000010539	235907	0.717197091	0.002378589	0.017748785
Brd7	ENSMUSG00000031660	BRD7	ENSG00000166164	26992	0.453471682	0.006932318	0.035714878
Esco1	ENSMUSG00000024293	ESCO1	ENSG00000141446	77805	1.13103592	9.78e-06	0.000724737
Abca5	ENSMUSG00000018800	ABCA5	ENSG00000154265	217265	0.772967369	0.001235237	0.011949116
Rnft1	ENSMUSG00000020521	RNFT1	ENSG00000189050	76892	0.525023454	0.004328672	0.026106507
Gabarapl2	ENSMUSG00000031950	GABARAPL2	ENSG00000034713	93739	0.36149137	0.009647274	0.044483337
Nipa2	ENSMUSG00000030452	NIPA2	ENSG00000140157	93790	0.87295654	1.5e-05	0.000888214
Ipo5	ENSMUSG00000030662	IPO5	ENSG00000065150	70572	0.391052868	0.003069908	0.020949796
Per1	ENSMUSG00000020893	PER1	ENSG00000179094	18626	-0.715989583	0.000499776	0.006846074
Rabep1	ENSMUSG00000020817	RABEP1	ENSG00000029725	54189	0.742325239	0.000241888	0.004632078
Rin3	ENSMUSG00000044456	RIN3	ENSG00000100599	217835	-0.499689827	0.004779969	0.027901736
Gaa	ENSMUSG00000025579	GAA	ENSG00000171298	14387	-0.701641316	0.000591121	0.007529438
Naa30	ENSMUSG00000036282	NAA30	ENSG00000139977	70646	1.034582008	8.06e-05	0.002454313
Esd	ENSMUSG00000021996	ESD	ENSG00000139684	13885	0.388875977	0.003900604	0.024252236
Eif1	ENSMUSG00000035530	EIF1	ENSG00000173812	20918	-0.401352987	0.00236808	0.017693818
Cdc27	ENSMUSG00000020687	CDC27	ENSG00000004897	217232	0.492598257	0.005600631	0.03088301
Uchl3	ENSMUSG00000022111	UCHL3	ENSG00000118939	50933	0.64377442	0.007716577	0.038072598
Natd1	ENSMUSG00000018931	NATD1	ENSG00000274180	24083	-0.532733124	0.002523904	0.018490022
Tarsl2	ENSMUSG00000030515	TARS3	ENSG00000185418	NA	NA	NA	NA
Gm42715	ENSMUSG00000107023	SRCAP	ENSG00000080603	NA	NA	NA	NA
Gm42715	ENSMUSG00000107023	AC106886.6	ENSG00000282034	NA	NA	NA	NA
Chmp1b	ENSMUSG00000109901	CHMP1B	ENSG00000255112	67064	0.481458841	0.005406355	0.03040737
Acan	ENSMUSG00000030607	ACAN	ENSG00000157766	11595	-0.897368824	0.000335131	0.005533889
Zc3h7a	ENSMUSG00000037965	ZC3H7A	ENSG00000122299	106205	0.509424165	0.001904742	0.015496669
Cyb5b	ENSMUSG00000031924	CYB5B	ENSG00000103018	66427	0.483613581	0.001969709	0.015808216
Mapk7	ENSMUSG00000001034	MAPK7	ENSG00000166484	23939	-0.633747877	0.000246272	0.004700043
Gspt1	ENSMUSG00000062203	GSPT1	ENSG00000103342	14852	0.488273178	0.002165625	0.016759408
Bahd1	ENSMUSG00000040007	BAHD1	ENSG00000140320	228536	-0.552274648	0.003391716	0.022268645
Vapa	ENSMUSG00000024091	VAPA	ENSG00000101558	30960	0.583208257	0.000997298	0.010334343
Rpl23	ENSMUSG00000071415	RPL23	ENSG00000125691	65019	0.606785906	0.002660632	0.019167446
Limd2	ENSMUSG00000040699	LIMD2	ENSG00000136490	67803	-0.633361385	0.000527053	0.007056622
Med9	ENSMUSG00000061650	MED9	ENSG00000141026	192191	-0.487179287	0.002935791	0.020435497
Nufip2	ENSMUSG00000037857	NUFIP2	ENSG00000108256	68564	0.445283135	0.00714174	0.036403801
Tubgcp5	ENSMUSG00000033790	TUBGCP5	ENSG00000275835	233276	0.692956506	0.000576273	0.007415812
Serpinf1	ENSMUSG00000000753	SERPINF1	ENSG00000132386	20317	-0.541774915	7.27e-05	0.00230731
Yes1	ENSMUSG00000014932	YES1	ENSG00000176105	22612	0.545661592	0.008487751	0.04055969
Ubald1	ENSMUSG00000039568	UBALD1	ENSG00000153443	207740	-0.54256728	0.005395203	0.030359811
Atp1b2	ENSMUSG00000041329	ATP1B2	ENSG00000129244	11932	-0.592930519	0.001459873	0.013161069
Utp6	ENSMUSG00000035575	UTP6	ENSG00000108651	216987	0.57354513	0.001005225	0.010393786
Coro2b	ENSMUSG00000041729	CORO2B	ENSG00000103647	235431	-0.677755713	0.000153338	0.003601519
Samd14	ENSMUSG00000047181	SAMD14	ENSG00000167100	217125	-0.623549162	0.002645746	0.019121481
L2hgdh	ENSMUSG00000020988	L2HGDH	ENSG00000087299	217666	0.773773739	0.000408928	0.006106797
Cdh3	ENSMUSG00000061048	CDH3	ENSG00000062038	12560	-0.525745498	0.001292156	0.012288582
Luc7l3	ENSMUSG00000020863	LUC7L3	ENSG00000108848	67684	0.99982913	3.57e-06	0.000383336
Tmem87a	ENSMUSG00000033808	TMEM87A	ENSG00000103978	211499	0.963050751	1.39e-06	0.000225244
Fbf1	ENSMUSG00000020776	FBF1	ENSG00000188878	217335	-0.470726201	0.009815939	0.045076458
Suz12	ENSMUSG00000017548	SUZ12	ENSG00000178691	52615	0.897100151	7.24e-06	0.000599441
Myh8	ENSMUSG00000055775	MYH8	ENSG00000133020	17885	-0.644322215	0.010078039	0.045950747
Aprt	ENSMUSG00000006589	APRT	ENSG00000198931	11821	-0.448002645	0.007122142	0.03634038
Prpf39	ENSMUSG00000035597	PRPF39	ENSG00000185246	328110	0.72689578	0.000871916	0.009555418
Mtmr10	ENSMUSG00000030522	MTMR10	ENSG00000166912	233315	0.571501613	0.001722018	0.014633027
Mga	ENSMUSG00000033943	MGA	ENSG00000174197	29808	0.431944141	0.006667148	0.034909406
Cisd3	ENSMUSG00000078695	CISD3	ENSG00000277972	217149	-0.643446242	0.002108197	0.01648606
Dnajc3	ENSMUSG00000022136	DNAJC3	ENSG00000102580	100037258	0.552288937	0.002143076	0.016665077
Plcg2	ENSMUSG00000034330	PLCG2	ENSG00000197943	234779	-0.564983447	0.006348634	0.033687853
Naglu	ENSMUSG00000001751	NAGLU	ENSG00000108784	27419	-0.640675852	0.001886772	0.015417307
Ktn1	ENSMUSG00000021843	KTN1	ENSG00000126777	16709	0.901479419	2.15e-06	0.000278229
Tbc1d2b	ENSMUSG00000037410	TBC1D2B	ENSG00000167202	67016	-0.392140457	0.008906071	0.041976709
Tle3	ENSMUSG00000032280	TLE3	ENSG00000140332	21887	-0.511636898	0.002256139	0.017223138
Rpl13	ENSMUSG00000000740	RPL13	ENSG00000167526	270106	-0.368915964	0.007722719	0.038072598
Mapk3	ENSMUSG00000063065	MAPK3	ENSG00000102882	26417	-0.462842884	0.005491855	0.030545036
Camta2	ENSMUSG00000040712	CAMTA2	ENSG00000108509	216874	-0.738072876	0.0001644	0.003739692
Sucla2	ENSMUSG00000022110	SUCLA2	ENSG00000136143	20916	0.909898091	2.49e-05	0.001204706
Tmem251	ENSMUSG00000046675	TMEM251	ENSG00000153485	320351	0.70967939	0.002167967	0.016766005
G2e3	ENSMUSG00000035293	G2E3	ENSG00000092140	217558	0.74625882	0.000100412	0.002821623
E2f4	ENSMUSG00000014859	E2F4	ENSG00000205250	104394	-0.468716291	0.005390273	0.030355969
Rnps1	ENSMUSG00000034681	RNPS1	ENSG00000205937	19826	-0.46540404	0.003569134	0.022927318
Zfyve19	ENSMUSG00000068580	ZFYVE19	ENSG00000166140	72008	-0.545009782	0.005184325	0.029533075
Bmf	ENSMUSG00000040093	BMF	ENSG00000104081	171543	-0.76351157	0.001242547	0.011967951
Fhod1	ENSMUSG00000014778	FHOD1	ENSG00000135723	234686	-0.554244105	0.004341537	0.026128117
Cbfb	ENSMUSG00000031885	CBFB	ENSG00000067955	12400	0.688827532	0.000562783	0.00735144
Ptgr2	ENSMUSG00000072946	PTGR2	ENSG00000140043	77219	0.638127328	0.011117557	0.048861706
Ptgr2	ENSMUSG00000072946	AC005520.1	ENSG00000258653	77219	0.638127328	0.011117557	0.048861706
Hoxb5	ENSMUSG00000038700	HOXB5	ENSG00000120075	15413	-0.670573012	0.002555668	0.018637834
Atxn2l	ENSMUSG00000032637	ATXN2L	ENSG00000168488	233871	-0.494145545	0.000399807	0.006061049
Atp6v0a1	ENSMUSG00000019302	ATP6V0A1	ENSG00000033627	11975	-0.359765217	0.00790315	0.038594615
Coro1a	ENSMUSG00000030707	CORO1A	ENSG00000102879	12721	-0.694921332	0.004528995	0.026982266
Socs1	ENSMUSG00000038037	SOCS1	ENSG00000185338	12703	-0.796991957	0.000573383	0.007401191
Zc3h14	ENSMUSG00000021012	ZC3H14	ENSG00000100722	75553	0.53118298	0.001362035	0.012706305
Nkd1	ENSMUSG00000031661	NKD1	ENSG00000140807	93960	-0.444163282	0.005221712	0.029660351
Clpx	ENSMUSG00000015357	CLPX	ENSG00000166855	270166	0.593075972	0.003148766	0.021295831
Papola	ENSMUSG00000021111	PAPOLA	ENSG00000090060	18789	0.459090089	0.003849315	0.024039536
Zfp597	ENSMUSG00000039789	ZNF597	ENSG00000167981	71063	0.59963404	0.007244726	0.036660886
Klhdc2	ENSMUSG00000020978	KLHDC2	ENSG00000165516	69554	0.455641813	0.000758317	0.008802726
Igbp1	ENSMUSG00000031221	AC011195.2	ENSG00000266826	18518	0.470581262	0.001485809	0.013352122
Gnpnat1	ENSMUSG00000037722	GNPNAT1	ENSG00000100522	54342	0.781239148	0.000277147	0.005041483
Med6	ENSMUSG00000002679	MED6	ENSG00000133997	69792	0.625732809	0.000489375	0.006768437
Dis3	ENSMUSG00000033166	DIS3	ENSG00000083520	72662	0.571640661	0.000329048	0.005519544
Sppl2a	ENSMUSG00000027366	SPPL2A	ENSG00000138600	66552	0.506975879	0.007274627	0.036748454
Atp2a1	ENSMUSG00000030730	ATP2A1	ENSG00000196296	11937	-0.753442576	0.000311749	0.005402534
Blm	ENSMUSG00000030528	BLM	ENSG00000197299	12144	0.437793992	0.009702266	0.044651786
Utp18	ENSMUSG00000054079	UTP18	ENSG00000011260	217109	0.523606034	0.011247498	0.049183234
Acd	ENSMUSG00000038000	ACD	ENSG00000102977	497652	-0.653046624	0.000943456	0.010069493
Tmem94	ENSMUSG00000020747	TMEM94	ENSG00000177728	71947	-0.609630848	0.002657572	0.019157654
Xylt1	ENSMUSG00000030657	XYLT1	ENSG00000103489	233781	-0.719020924	0.004044547	0.02484539
Uqcrc2	ENSMUSG00000030884	UQCRC2	ENSG00000140740	67003	0.380937865	0.003478712	0.022602595
Zcchc14	ENSMUSG00000061410	ZCCHC14	ENSG00000140948	142682	-0.434505706	0.005711989	0.031237005
Grn	ENSMUSG00000034708	GRN	ENSG00000030582	14824	-0.592716106	0.00026745	0.004944969
Ccdc47	ENSMUSG00000078622	CCDC47	ENSG00000108588	NA	NA	NA	NA
Slirp	ENSMUSG00000021040	SLIRP	ENSG00000119705	380773	0.66652219	0.000834824	0.009325517
Pcgf2	ENSMUSG00000018537	PCGF2	ENSG00000277258	22658	-0.691926245	1.22e-05	0.000792726
Flii	ENSMUSG00000002812	FLII	ENSG00000177731	14248	-0.428819382	0.001754559	0.014798751
Neto2	ENSMUSG00000036902	NETO2	ENSG00000171208	74513	0.840312133	0.000827369	0.00929242
Psma4	ENSMUSG00000032301	PSMA4	ENSG00000041357	26441	0.533532134	0.002284695	0.017323679
Hcfc1r1	ENSMUSG00000023904	HCFC1R1	ENSG00000103145	353502	-0.52786937	0.000565157	0.007365355
Pacs2	ENSMUSG00000021143	PACS2	ENSG00000179364	217893	-0.454785684	0.005727083	0.031277923
Rps6kb1	ENSMUSG00000020516	RPS6KB1	ENSG00000108443	72508	0.750996471	2.01e-05	0.001053952
Rps6kb1	ENSMUSG00000020516	AC005702.1	ENSG00000267318	72508	0.750996471	2.01e-05	0.001053952
Capn15	ENSMUSG00000037326	CAPN15	ENSG00000103326	50817	-0.606390372	0.006486203	0.034187899
Nop10	ENSMUSG00000027133	NOP10	ENSG00000182117	66181	-0.7135422	6.07e-05	0.002016687
Rnf111	ENSMUSG00000032217	RNF111	ENSG00000157450	93836	-0.327322297	0.008379788	0.040185865
Pskh1	ENSMUSG00000048310	PSKH1	ENSG00000159792	244631	-0.536824272	0.000755015	0.008791595
Ccl7	ENSMUSG00000035373	CCL7	ENSG00000108688	20306	0.848439964	7.24e-05	0.00230731
Aurkb	ENSMUSG00000020897	AURKB	ENSG00000178999	20877	-0.457297863	0.00083829	0.009345691
Tbx2	ENSMUSG00000000093	TBX2	ENSG00000121068	21385	-0.621925574	0.005273835	0.029885949
Morf4l1	ENSMUSG00000062270	MORF4L1	ENSG00000185787	21761	0.43573631	0.000653313	0.008057284
Nemf	ENSMUSG00000020982	NEMF	ENSG00000165525	66244	0.795076891	0.000607347	0.00767534
Ap4s1	ENSMUSG00000020955	AP4S1	ENSG00000100478	11782	0.670784567	0.001812891	0.015020716
Fos	ENSMUSG00000021250	FOS	ENSG00000170345	14281	-0.577937534	0.000855523	0.00946893
Mllt6	ENSMUSG00000038437	MLLT6	ENSG00000275023	246198	-0.585275626	0.001488688	0.01336733
Cmtm3	ENSMUSG00000031875	CMTM3	ENSG00000140931	68119	-0.523361642	0.000442328	0.006426591
Igdcc4	ENSMUSG00000032816	IGDCC4	ENSG00000103742	56741	-0.575495041	0.000303633	0.005358793
Mta1	ENSMUSG00000021144	MTA1	ENSG00000182979	116870	-0.485351921	0.003076896	0.020984767
Dnaja3	ENSMUSG00000004069	DNAJA3	ENSG00000103423	NA	NA	NA	NA
Crtc3	ENSMUSG00000030527	CRTC3	ENSG00000140577	70461	-0.637243855	1.88e-06	0.000255197
0610010K14Rik	ENSMUSG00000020831	RNASEK-C17orf49	ENSG00000161939	NA	NA	NA	NA
0610010K14Rik	ENSMUSG00000020831	C17orf49	ENSG00000258315	NA	NA	NA	NA
Col1a1	ENSMUSG00000001506	COL1A1	ENSG00000108821	12842	-0.58132796	6.86e-05	0.002219916
